,buy,hold,period,sell,strongBuy,strongSell,symbol
0,4,3,2025-02-01,0,2,0,PRTS
0,4,3,2025-01-01,0,2,0,PRTS
0,4,3,2024-12-01,0,2,0,PRTS
0,4,3,2024-11-01,0,2,0,PRTS
0,5,1,2025-02-01,0,3,0,CMMB
0,5,1,2025-01-01,0,3,0,CMMB
0,5,1,2024-12-01,0,3,0,CMMB
0,5,1,2024-11-01,0,3,0,CMMB
0,9,2,2025-02-01,0,2,0,GDEN
0,10,2,2025-01-01,0,2,0,GDEN
0,9,2,2024-12-01,0,2,0,GDEN
0,9,2,2024-11-01,0,2,0,GDEN
0,6,1,2025-02-01,1,7,0,VIGL
0,6,1,2025-01-01,1,7,0,VIGL
0,6,1,2024-12-01,1,6,0,VIGL
0,6,1,2024-11-01,1,6,0,VIGL
0,5,1,2025-02-01,0,2,0,LEXX
0,5,1,2025-01-01,0,2,0,LEXX
0,5,1,2024-12-01,0,2,0,LEXX
0,5,1,2024-11-01,0,2,0,LEXX
0,4,2,2025-02-01,0,4,0,CAAP
0,5,2,2025-01-01,0,4,0,CAAP
0,5,2,2024-12-01,0,4,0,CAAP
0,5,2,2024-11-01,0,4,0,CAAP
0,3,12,2025-02-01,8,3,5,PARA
0,3,12,2025-01-01,8,3,5,PARA
0,3,14,2024-12-01,8,2,5,PARA
0,2,15,2024-11-01,8,2,5,PARA
0,3,6,2025-02-01,0,3,0,GMS
0,3,6,2025-01-01,0,3,0,GMS
0,3,6,2024-12-01,0,3,0,GMS
0,4,5,2024-11-01,0,3,0,GMS
0,0,3,2023-07-01,1,0,2,CANG
0,0,3,2023-06-01,1,0,2,CANG
0,0,3,2023-05-01,1,0,2,CANG
0,0,3,2023-04-01,1,0,2,CANG
0,8,1,2025-02-01,0,2,0,QBTS
0,9,1,2025-01-01,0,2,0,QBTS
0,9,1,2024-12-01,0,2,0,QBTS
0,10,1,2024-11-01,0,2,0,QBTS
0,0,2,2025-02-01,2,0,2,FNMA
0,0,3,2025-01-01,1,0,3,FNMA
0,0,3,2024-12-01,1,0,3,FNMA
0,1,2,2024-11-01,1,0,3,FNMA
0,0,3,2023-02-01,1,0,2,FOSL
0,0,3,2023-01-01,1,0,2,FOSL
0,0,3,2022-12-01,1,0,2,FOSL
0,0,3,2022-11-01,1,0,2,FOSL
0,3,4,2025-02-01,1,4,0,CURV
0,3,4,2025-01-01,1,4,0,CURV
0,0,5,2024-12-01,2,1,2,CURV
0,0,5,2024-11-01,2,1,2,CURV
0,9,8,2025-02-01,1,8,0,GEHC
0,9,8,2025-01-01,1,7,0,GEHC
0,9,8,2024-12-01,1,7,0,GEHC
0,9,8,2024-11-01,1,7,0,GEHC
0,8,6,2025-02-01,0,4,0,DAVA
0,8,6,2025-01-01,0,5,0,DAVA
0,8,6,2024-12-01,0,5,0,DAVA
0,8,6,2024-11-01,0,5,0,DAVA
0,5,4,2025-02-01,0,4,0,ONEW
0,5,4,2025-01-01,0,5,0,ONEW
0,5,4,2024-12-01,0,5,0,ONEW
0,5,4,2024-11-01,0,5,0,ONEW
0,3,12,2025-02-01,7,2,4,CE
0,3,13,2025-01-01,8,1,4,CE
0,2,14,2024-12-01,8,1,4,CE
0,3,15,2024-11-01,6,1,4,CE
0,0,4,2025-02-01,1,0,2,PROV
0,0,4,2025-01-01,1,0,2,PROV
0,0,4,2024-12-01,1,0,2,PROV
0,0,4,2024-11-01,1,0,2,PROV
0,4,1,2025-02-01,0,2,0,BLX
0,4,1,2025-01-01,0,2,0,BLX
0,3,1,2024-12-01,0,2,0,BLX
0,3,1,2024-11-01,0,2,0,BLX
0,6,1,2025-02-01,0,2,0,PPTA.TO
0,6,1,2025-01-01,0,2,0,PPTA.TO
0,5,1,2024-12-01,0,2,0,PPTA.TO
0,6,1,2024-11-01,0,2,0,PPTA.TO
0,15,6,2025-02-01,0,6,0,MGM
0,15,6,2025-01-01,0,6,0,MGM
0,16,6,2024-12-01,0,5,0,MGM
0,16,6,2024-11-01,0,5,0,MGM
0,5,3,2025-02-01,0,5,0,ENVA
0,5,3,2025-01-01,0,5,0,ENVA
0,5,3,2024-12-01,0,5,0,ENVA
0,5,3,2024-11-01,0,4,0,ENVA
0,3,6,2025-02-01,0,2,0,AFG
0,3,6,2025-01-01,0,2,0,AFG
0,3,6,2024-12-01,0,2,0,AFG
0,3,6,2024-11-01,0,2,0,AFG
